Data;USD/PLN;EUR/PLN
2.01.2025;4,16199;4,27274
3.01.2025;4,1416;4,26841
6.01.2025;4,0935;4,25315
7.01.2025;4,11855;4,25965
8.01.2025;4,1429;4,27485
9.01.2025;4,1363;4,26101
10.01.2025;4,16379;4,26559
13.01.2025;4,1615;4,26957
14.01.2025;4,13735;4,26436
15.01.2025;4,1376;4,25899
16.01.2025;4,14095;4,26596
17.01.2025;4,14705;4,26134
20.01.2025;4,08415;4,25329
21.01.2025;4,07625;4,25059
22.01.2025;4,0589;4,22519
23.01.2025;4,04545;4,21426
24.01.2025;4,0125;4,21124
27.01.2025;4,01755;4,21405
28.01.2025;4,02925;4,20214
29.01.2025;4,0331;4,20309
30.01.2025;4,04555;4,20264
31.01.2025;4,0668;4,2191
3.02.2025;4,08745;4,22773
4.02.2025;4,05715;4,21075
5.02.2025;4,03775;4,20091
6.02.2025;4,03555;4,19039
7.02.2025;4,06011;4,19324
10.02.2025;4,0596;4,18399
11.02.2025;4,02745;4,17324
12.02.2025;4,01;4,16414
13.02.2025;3,98408;4,17021
14.02.2025;3,96452;4,15957
17.02.2025;3,9679;4,15846
18.02.2025;3,96935;4,1488
19.02.2025;4,0053;4,17552
20.02.2025;3,96505;4,16251
21.02.2025;3,97997;4,16337
24.02.2025;3,95803;4,14382
25.02.2025;3,9397;4,14224
26.02.2025;3,94597;4,13837
27.02.2025;4,00445;4,16279
28.02.2025;4,0442;4,19529
3.03.2025;3,96487;4,15839
4.03.2025;3,92542;4,16891
5.03.2025;3,85151;4,15608
6.03.2025;3,868;4,17427
7.03.2025;3,84679;4,1728
10.03.2025;3,87565;4,1993
11.03.2025;3,8481;4,20051
12.03.2025;3,84771;4,18988
13.03.2025;3,8557;4,18443
14.03.2025;3,8478;4,18583
17.03.2025;3,83115;4,18415
18.03.2025;3,82185;4,18179
19.03.2025;3,84071;4,18971
20.03.2025;3,86171;4,19277
21.03.2025;3,87745;4,19427
24.03.2025;3,86216;4,1721
25.03.2025;3,85911;4,16355
26.03.2025;3,89725;4,18467
27.03.2025;3,87584;4,18451
28.03.2025;3,85953;4,18021
31.03.2025;3,86775;4,18487
1.04.2025;3,87705;4,18492
2.04.2025;3,85977;4,17936
3.04.2025;3,82105;4,22298
4.04.2025;3,9026;4,27061
7.04.2025;3,93575;4,29516
8.04.2025;3,89898;4,2727
9.04.2025;3,86955;4,23754
10.04.2025;3,8083;4,26331
11.04.2025;3,7744;4,28054
14.04.2025;3,7731;4,28443
15.04.2025;3,8068;4,29514
16.04.2025;3,75335;4,2778
17.04.2025;3,76301;4,27828
21.04.2025;3,7097;4,27005
22.04.2025;3,77175;4,28603
23.04.2025;3,78255;4,28347
24.04.2025;3,75165;4,27234
25.04.2025;3,7613;4,27265
28.04.2025;3,73856;4,26973
29.04.2025;3,7492;4,2691
30.04.2025;3,77589;4,27732
1.05.2025;3,7949;4,28368
2.05.2025;3,78338;4,27711
5.05.2025;3,77147;4,26851
6.05.2025;3,7592;4,27534
7.05.2025;3,77565;4,27158
8.05.2025;3,78986;4,25514
9.05.2025;3,76008;4,23283
12.05.2025;3,82404;4,24105
13.05.2025;3,79031;4,24018
14.05.2025;3,7851;4,23072
15.05.2025;3,79605;4,2474
16.05.2025;3,82624;4,26602
19.05.2025;3,77918;4,24912
20.05.2025;3,7559;4,23785
21.05.2025;3,7443;4,24218
22.05.2025;3,76675;4,24931
23.05.2025;3,74624;4,25711
26.05.2025;3,72795;4,24468
27.05.2025;3,74867;4,24821
28.05.2025;3,75396;4,24047
29.05.2025;3,73005;4,24103
30.05.2025;3,74174;4,24938
2.06.2025;3,71751;4,25309
3.06.2025;3,75567;4,27286
4.06.2025;3,7459;4,27658
5.06.2025;3,742;4,28257
6.06.2025;3,76468;4,29038
9.06.2025;3,73785;4,26933
10.06.2025;3,7282;4,25954
11.06.2025;3,70072;4,25153
12.06.2025;3,68175;4,26678
13.06.2025;3,6997;4,27319
16.06.2025;3,69374;4,27129
17.06.2025;3,72339;4,27527
18.06.2025;3,723;4,27505
19.06.2025;3,7193;4,27552
20.06.2025;3,70563;4,26748
23.06.2025;3,69145;4,27396
24.06.2025;3,66295;4,25268
25.06.2025;3,64545;4,24935
26.06.2025;3,62672;4,24286
27.06.2025;3,62293;4,24129
30.06.2025;3,60215;4,24394
1.07.2025;3,60113;4,25084
2.07.2025;3,6138;4,26287
3.07.2025;3,6077;4,24175
4.07.2025;3,60375;4,24345
7.07.2025;3,62984;4,25025
8.07.2025;3,6207;4,24469
9.07.2025;3,6205;4,24431
10.07.2025;3,63345;4,2524
11.07.2025;3,64817;4,26409
14.07.2025;3,64973;4,25711
15.07.2025;3,67415;4,26223
16.07.2025;3,65668;4,2548
17.07.2025;3,67085;4,2576
18.07.2025;3,65246;4,24503
21.07.2025;3,62985;4,24463
22.07.2025;3,61935;4,25248
23.07.2025;3,611;4,25018
24.07.2025;3,62439;4,25764
25.07.2025;3,61841;4,24942
28.07.2025;3,67825;4,26327
29.07.2025;3,70565;4,27951
30.07.2025;3,745;4,27248
31.07.2025;3,74565;4,27663
1.08.2025;3,69282;4,27233
4.08.2025;3,6946;4,27454
5.08.2025;3,69835;4,28065
6.08.2025;3,6652;4,273
7.08.2025;3,6485;4,25612
8.08.2025;3,64704;4,24614
11.08.2025;3,6636;4,2556
12.08.2025;3,6449;4,2552
13.08.2025;3,6335;4,25326
14.08.2025;3,65736;4,2613
15.08.2025;3,63952;4,25864
18.08.2025;3,64462;4,25042
19.08.2025;3,6442;4,24458
20.08.2025;3,6458;4,24827
21.08.2025;3,66613;4,25564
22.08.2025;3,63566;4,26107
25.08.2025;3,6668;4,26086
26.08.2025;3,6567;4,25833
27.08.2025;3,66627;4,26658
28.08.2025;3,65034;4,26334
29.08.2025;3,64409;4,26304
1.09.2025;3,64045;4,26304
2.09.2025;3,6606;4,26152
3.09.2025;3,64717;4,25304
4.09.2025;3,64824;4,24998
5.09.2025;3,62681;4,24993
8.09.2025;3,61113;4,24723
9.09.2025;3,62715;4,2479
10.09.2025;3,64235;4,26158
11.09.2025;3,62585;4,2549
12.09.2025;3,62522;4,25466
15.09.2025;3,6112;4,2489
16.09.2025;3,58255;4,25041
17.09.2025;3,59947;4,25295
18.09.2025;3,6146;4,26038
19.09.2025;3,62828;4,26243
22.09.2025;3,60736;4,25657
23.09.2025;3,60435;4,25836
24.09.2025;3,6358;4,26824
25.09.2025;3,66297;4,2715
26.09.2025;3,64564;4,26751
29.09.2025;3,64049;4,26916
30.09.2025;3,63463;4,26589
1.10.2025;3,6313;4,26053
2.10.2025;3,63416;4,25854
3.10.2025;3,62213;4,25285
6.10.2025;3,63301;4,25414
7.10.2025;3,64858;4,25337
8.10.2025;3,65817;4,25412
9.10.2025;3,68078;4,25693
10.10.2025;3,67222;4,26447
13.10.2025;3,68088;4,25951
14.10.2025;3,67185;4,26235
15.10.2025;3,65309;4,25366
16.10.2025;3,63425;4,24789
17.10.2025;3,6338;4,24093
20.10.2025;3,63806;4,23648
21.10.2025;3,65432;4,24084
22.10.2025;3,64512;4,233
23.10.2025;3,64118;4,23025
24.10.2025;3,64811;4,2434
27.10.2025;3,63473;4,23446
28.10.2025;3,63224;4,23185
29.10.2025;3,65593;4,24227
30.10.2025;3,66983;4,24533
31.10.2025;3,6883;4,25523
3.11.2025;3,69289;4,25461
4.11.2025;3,71008;4,26077
5.11.2025;3,70223;4,25486
6.11.2025;3,68095;4,24976
7.11.2025;3,66603;4,2395
10.11.2025;3,6644;4,23502
11.11.2025;3,652;4,23102
12.11.2025;3,65274;4,23367
13.11.2025;3,63663;4,23176
14.11.2025;3,63613;4,22551
17.11.2025;3,65364;4,23453
18.11.2025;3,66083;4,23836
19.11.2025;3,66481;4,22879
20.11.2025;3,67341;4,23511
21.11.2025;3,67998;4,23845
24.11.2025;3,67468;4,23536
25.11.2025;3,6509;4,22413
26.11.2025;3,6503;4,2327
27.11.2025;3,64683;4,22901
28.11.2025;3,65147;4,23596
1.12.2025;3,6431;4,22927
